fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
9.557738088364094164e-02,6.436295515428900327e-01,4.305894345099837706e-01,-2.076699276046206855e+00,-1.207158397363625041e-01,2.318700607041078499e+00,4.809313510205323605e-01
1.050521310639548345e+00,6.395172151182606513e-01,-4.250001374345844241e-01,-2.073749637171667271e+00,2.969036712088151675e-01,2.298240071459244582e+00,4.803621822165131117e-01
1.320973493293909229e+00,7.778552539685932299e-01,-7.853991405430484907e-01,-2.087677340340491128e+00,9.320291088523416922e-01,2.133322617131668153e+00,4.800229976716927083e-01
1.496330504287775254e+00,1.117808183115410303e+00,-1.088587261039416498e+00,-1.964559243500509922e+00,1.216511513560643909e+00,1.698949719639448297e+00,4.803888164906965907e-01
1.643722128648121616e+00,1.373959254519879769e+00,-1.238943409191270328e+00,-1.856267394180765473e+00,1.188880367473073019e+00,1.553980436040551583e+00,4.803790744803187462e-01
1.756604084123563059e+00,1.375682670215284231e+00,-1.280379763852948383e+00,-2.284025798854790068e+00,1.876981768383394256e+00,1.559076859665647019e+00,4.803968663524701421e-01
2.065928018605462047e+00,1.375495350862598665e+00,-1.216098541622009366e+00,-2.382660085537004147e+00,1.866329651151188207e+00,2.095816257649227410e+00,4.804247549911573323e-01
2.096722114731691011e+00,1.223190817778023076e+00,-1.012793239007717228e+00,-2.376838751364350522e+00,1.866789139958343613e+00,2.670012534475486365e+00,4.804779062931386902e-01
2.017849755720679816e+00,1.221463793157961275e+00,-1.146138809337971187e+00,-2.453560503700894291e+00,2.120769783128795716e+00,2.204598966251602121e+00,4.810138637331577982e-01
1.432166353952849525e+00,1.254840886919128540e+00,-1.170718226306858734e+00,-2.021802135452706484e+00,1.584902778636346765e+00,1.385305226968145620e+00,4.809937283811193121e-01
1.450265137416221428e+00,1.254800298259698188e+00,-1.093415917321456154e+00,-1.712984322653471558e+00,1.010687871478747057e+00,1.501904040249936401e+00,4.809754345118911201e-01
1.366334747232094138e+00,1.355878693019729520e+00,-1.113453939744379673e+00,-1.542807440483752623e+00,1.016458592699543528e+00,1.306721507002098548e+00,4.809560361127056538e-01
1.341788184387143312e+00,1.141635232517176579e+00,-8.472746288406153292e-01,-1.582115917210014766e+00,5.581805726285572478e-01,1.589550888053125721e+00,4.809048125513531446e-01
1.683303721624401783e+00,1.079036805601957028e+00,-1.029988358921681835e+00,-2.004306270462964168e+00,8.157271583992226072e-01,2.037542498271192493e+00,1.267938157647193309e+00
1.700974466242125116e+00,1.074839871538282088e+00,-1.130413557842749661e+00,-2.187776386566473441e+00,1.390711089228166220e+00,1.987603852210850786e+00,1.267959473424521866e+00
1.256570451695238066e+00,8.709277604114915583e-01,-8.990461118261167117e-01,-2.175842613534563430e+00,1.513991476565226479e+00,1.799222559297445123e+00,1.267956281366148241e+00
1.917143746237351509e+00,1.437394289916681833e+00,-1.295878675143211201e+00,-2.168099085971523010e+00,1.498242542857548099e+00,1.800561755116129481e+00,1.267972893407106394e+00
2.090687185750317659e-02,5.849085759623854353e-01,5.145935405211387037e-01,-2.239006853624774251e+00,-4.967917727528921579e-01,2.561698725045078007e+00,7.952162616077387280e-01
-3.184638602022201725e-01,8.459979144713285493e-01,8.152175102021854691e-01,-2.058502217144654090e+00,-4.973760646732079960e-01,2.244290810424957705e+00,7.952110090093378325e-01
-4.026948137433938868e-01,1.027321760738287848e+00,1.034646280678108266e+00,-2.023449767602081728e+00,-1.003045322638042247e+00,1.979044032572401246e+00,7.966767221172055269e-01
-6.394194744580431466e-01,1.304444125311397418e+00,1.178900540537980213e+00,-1.995260843760496838e+00,-1.014133145374738643e+00,1.918543162390841106e+00,7.963123597024546196e-01
-3.691480933519287744e-01,1.526724359451585578e+00,1.351621571667279698e+00,-1.903363022954767336e+00,-1.563602307208367348e+00,1.230958146692344268e+00,7.962910224427726114e-01
-5.604819178064903706e-01,1.511605880414448988e+00,1.341347600577573740e+00,-2.228324296188641362e+00,-1.877284450062778332e+00,1.407720918363006612e+00,7.962236560731025259e-01
-4.388043677677558319e-01,1.208415671201223729e+00,1.030524007789608953e+00,-1.788962843830137928e+00,-6.674727121085162196e-01,1.793831086247807294e+00,7.950882789059067202e-01
-7.924599593534769060e-01,1.204577198947665906e+00,1.124980449037562114e+00,-2.262919692397519444e+00,-1.313828236062748456e+00,2.341603750862632172e+00,7.956203828397434563e-01
-8.848740916509914012e-01,1.205285185573090834e+00,1.003795085517829255e+00,-2.361741666022243891e+00,-1.876763757137896560e+00,2.715361961887584830e+00,7.956051570001078099e-01
-2.937427690774489508e-01,9.366783559874556353e-01,8.334604190123183765e-01,-1.920677115052191963e+00,-4.901053198251119070e-01,2.030750734975496297e+00,2.114378778298933031e-02
8.467102267290756157e-02,9.377752947193814803e-01,7.713654286172835217e-01,-1.829310645889648201e+00,-9.878816046107236071e-01,1.673648288519668403e+00,2.120614269587755424e-02
-6.847926161648214549e-01,9.838784968512132023e-01,9.477651492917007481e-01,-2.301154488186720304e+00,-7.095581068459623220e-01,2.659266064860432710e+00,2.119885448123208158e-02
-1.283172214941271927e-01,9.636388608950858803e-01,6.450076355055005539e-01,-1.726659755366167115e+00,-1.752963265818996141e-01,1.844847652944115790e+00,1.488599130061778020e+00
7.583784813741308029e-02,6.229827685581205143e-01,2.589797754868702895e-01,-2.562067649731241570e+00,-5.564491994524781715e-01,3.580741079132482074e+00,1.488985975426772690e+00
1.275600832740033108e-01,7.535191758980352983e-01,4.051064208226220487e-01,-1.879228937186271375e+00,-7.957289788400825903e-02,2.045242684102194008e+00,7.761613269225584588e-01
